taxon,birth,death,ccp,source
__TAXONOMIC_ROOT__,0.44638922694031546,0.3651456680463725,0.9996586659499218,computed
Formicidae,0.44638922694031546,0.3651456680463725,0.9996586659499218,computed
Adlerzia,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Aneuretus,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Ankylomyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Aphomomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Apomyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Aptinoma,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Bariamyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Bazboltonia,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Belonopelta,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Buniapone,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Chimaeridris,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (unsampled)
Condylodon,0.44638922694031546,0.3651456680463725,0.0,from Formicidae (unsampled)
Corrieopone,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Cyatta,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dacatria,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Diaphoromyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dinomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Diplomorium,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dolioponera,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Dolopomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Epelysidris,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Erromyrma,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Euponera,0.15602023623762776,0.0,1.0,computed
Eutetramorium,0.018542406164325835,0.0,1.0,computed
Feroponera,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Froggattella,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Gigantiops,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Gracilidris,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Hagensia,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Huberia,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Iberoformica,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Kalathomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Kempfidris,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Lathidris,0.06928634479873888,0.06928395040447775,1.0,computed
Liomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Loweriella,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Malagidris,0.09504467158814105,0.02759053045039122,1.0,computed
Martialis,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Megaponera,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Melissotarsus,0.05235876486268486,0.05235857498495769,1.0,computed
Metalasius,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Myopopone,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Myrcidris,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Nebothriomyrmex,0.44638922694031546,0.3651456680463725,0,from Formicidae (singleton)
Neocerapachys,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
Nomamyrmex,0.44638922694031546,0.3651456680463725,1.0,from Formicidae (cherry)
